what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1304393253725
arch,sysinfo,,,"x86",1304393253725
ws,sysinfo,,,"gtk",1304393253725
locale,sysinfo,,,"en_IN",1304393253725
processors,sysinfo,,,"2",1304393253725
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304393253725
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1304393253725
java.specification.name,sysinfo,,,"Java Platform API Specification",1304393253725
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393253725
java.specification.version,sysinfo,,,"1.6",1304393253725
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393253725
java.version,sysinfo,,,"1.6.0_24",1304393253725
java.vm.info,sysinfo,,,"mixed mode, sharing",1304393253725
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304393253725
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304393253725
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393253725
java.vm.specification.version,sysinfo,,,"1.0",1304393253725
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393253725
java.vm.version,sysinfo,,,"19.1-b02",1304393253725
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304393254203
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304393254214
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304393254218
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304393254219
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304393254280
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304393254331
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304393260530
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304393261750
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304393261805
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304393261912
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304393261938
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1304393265246
opened,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1304393265594
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1304393265656
opened,view,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui.views.MakeView",1304393290627
activated,view,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui.views.MakeView",1304393290650
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1304393292872
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304393294112
error,log,,,"Core exception while retrieving the content description",1304393340817
error,log,,,"Core exception while retrieving the content description",1304393340855
error,log,,,"Core exception while retrieving the content description",1304393340858
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304393340925
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1304393341358
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304393353842
error,log,,,"Core exception while retrieving the content description",1304393355103
error,log,,,"Core exception while retrieving the content description",1304393355107
error,log,,,"Core exception while retrieving the content description",1304393355110
error,log,,,"Core exception while retrieving the content description",1304393355115
error,log,,,"Core exception while retrieving the content description",1304393355119
error,log,,,"Core exception while retrieving the content description",1304393355124
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1304393355262
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1304393356856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304393367285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304393392563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304393401594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304393423852
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304393428416
